timeOpen,timeClose,timeHigh,timeLow,name,open,high,low,close,volume,marketCap,timestamp
2023-02-13T00:00:00.000Z,2023-02-19T23:59:59.999Z,2023-02-16T16:06:00.000Z,2023-02-13T17:57:00.000Z,2781,21786.99926,25134.11735,21460.0885,24327.64167,209050300776,469431477134,2023-02-19T23:59:59.999Z
2023-02-06T00:00:00.000Z,2023-02-12T23:59:59.999Z,2023-02-08T01:17:00.000Z,2023-02-10T21:46:00.000Z,2781,22954.02196,23367.95929,21539.39283,21788.20399,170212590187,420274300806,2023-02-12T23:59:59.999Z
2023-01-30T00:00:00.000Z,2023-02-05T23:59:59.999Z,2023-02-02T01:01:00.000Z,2023-01-30T22:43:00.000Z,2781,23774.64897,24167.21023,22657.58217,22955.66602,171080243770,442642331536,2023-02-05T23:59:59.999Z
2023-01-23T00:00:00.000Z,2023-01-29T23:59:59.999Z,2023-01-29T19:49:00.000Z,2023-01-25T01:31:00.000Z,2781,22721.08867,23919.88976,22406.0755,23774.56592,177486927537,458291157032,2023-01-29T23:59:59.999Z
2023-01-16T00:00:00.000Z,2023-01-22T23:59:59.999Z,2023-01-21T19:56:00.000Z,2023-01-18T16:47:00.000Z,2781,20882.22388,23282.34772,20541.54455,22720.41563,188938770069,437814457018,2023-01-22T23:59:59.999Z
2023-01-09T00:00:00.000Z,2023-01-15T23:59:59.999Z,2023-01-14T14:37:00.000Z,2023-01-09T00:00:00.000Z,2781,17093.9925,21075.14183,17093.9925,20880.7992,175202822924,402234665331,2023-01-15T23:59:59.999Z
2023-01-02T00:00:00.000Z,2023-01-08T23:59:59.999Z,2023-01-08T23:59:00.000Z,2023-01-02T01:19:00.000Z,2781,16625.51039,17091.14445,16572.22885,17091.14445,90012614323,329114546384,2023-01-08T23:59:59.999Z
2022-12-26T00:00:00.000Z,2023-01-01T23:59:59.999Z,2022-12-27T00:14:00.000Z,2022-12-30T14:52:00.000Z,2781,16842.24931,16959.84648,16408.47518,16625.08055,95526200507,320025834692,2023-01-01T23:59:59.999Z
2022-12-19T00:00:00.000Z,2022-12-25T23:59:59.999Z,2022-12-20T15:34:00.000Z,2022-12-19T22:37:00.000Z,2781,16759.04093,17012.98471,16398.13625,16841.98705,107997970887,324093186301,2022-12-25T23:59:59.999Z
2022-12-12T00:00:00.000Z,2022-12-18T23:59:59.999Z,2022-12-14T18:58:00.000Z,2022-12-16T23:35:00.000Z,2781,17102.50065,18318.53058,16584.7014,16757.9774,168070921628,322379914497,2022-12-18T23:59:59.999Z
2022-12-05T00:00:00.000Z,2022-12-11T23:59:59.999Z,2022-12-05T05:09:00.000Z,2022-12-07T08:06:00.000Z,2781,17128.89408,17378.15331,16750.55813,17104.19281,129428712529,328933297476,2022-12-11T23:59:59.999Z
2022-11-28T00:00:00.000Z,2022-12-04T23:59:59.999Z,2022-12-01T13:35:00.000Z,2022-11-28T16:22:00.000Z,2781,16440.22209,17197.49725,16054.53022,17130.48595,156325682750,329323845089,2022-12-04T23:59:59.999Z
2022-11-21T00:00:00.000Z,2022-11-27T23:59:59.999Z,2022-11-24T02:04:00.000Z,2022-11-21T21:53:00.000Z,2781,16291.2238,16771.47524,15599.04718,16444.62683,184366390570,316040534592,2022-11-27T23:59:59.999Z
2022-11-14T00:00:00.000Z,2022-11-20T23:59:59.999Z,2022-11-14T13:31:00.000Z,2022-11-14T06:01:00.000Z,2781,16352.02856,17109.32335,15872.94161,16291.83247,212305926999,313012826680,2022-11-20T23:59:59.999Z
2022-11-07T00:00:00.000Z,2022-11-13T23:59:59.999Z,2022-11-07T02:18:00.000Z,2022-11-09T23:38:00.000Z,2781,20924.62048,21053.24615,15682.69284,16353.36572,471409252760,314093257178,2022-11-13T23:59:59.999Z
2022-10-31T00:00:00.000Z,2022-11-06T23:59:59.999Z,2022-11-05T04:22:00.000Z,2022-11-03T12:51:00.000Z,2781,20633.69607,21446.8861,20086.2409,20926.48597,321270158407,401792318391,2022-11-06T23:59:59.999Z
2022-10-24T00:00:00.000Z,2022-10-30T23:59:59.999Z,2022-10-29T10:24:00.000Z,2022-10-24T14:28:00.000Z,2781,19567.76958,20988.39447,19206.32431,20635.60375,302335723765,396075135322,2022-10-30T23:59:59.999Z
2022-10-17T00:00:00.000Z,2022-10-23T23:59:59.999Z,2022-10-18T06:46:00.000Z,2022-10-21T12:26:00.000Z,2781,19268.5621,19666.99501,18770.97006,19567.0074,175664450104,375444263357,2022-10-23T23:59:59.999Z
2022-10-10T00:00:00.000Z,2022-10-16T23:59:59.999Z,2022-10-14T01:58:00.000Z,2022-10-13T13:20:00.000Z,2781,19446.41623,19889.14627,18319.82263,19268.0928,197940078443,369584293836,2022-10-16T23:59:59.999Z
2022-10-03T00:00:00.000Z,2022-10-09T23:59:59.999Z,2022-10-06T02:11:00.000Z,2022-10-03T00:08:00.000Z,2781,19044.06785,20408.39184,19025.22629,19446.42619,196809212801,372876821416,2022-10-09T23:59:59.999Z
2022-09-26T00:00:00.000Z,2022-10-02T23:59:59.999Z,2022-09-27T12:52:00.000Z,2022-09-28T02:44:00.000Z,2781,18803.90063,20338.45546,18553.29736,19044.10727,280290121526,365024821954,2022-10-02T23:59:59.999Z
2022-09-19T00:00:00.000Z,2022-09-25T23:59:59.999Z,2022-09-21T18:01:00.000Z,2022-09-21T22:20:00.000Z,2781,19418.57142,19674.63033,18290.31519,18802.09798,252873598365,360259346858,2022-09-25T23:59:59.999Z
2022-09-12T00:00:00.000Z,2022-09-18T23:59:59.999Z,2022-09-13T12:26:00.000Z,2022-09-18T22:32:00.000Z,2781,21770.14813,22673.81977,19387.49135,19419.50619,261900187496,371970445843,2022-09-18T23:59:59.999Z
2022-09-05T00:00:00.000Z,2022-09-11T23:59:59.999Z,2022-09-11T23:58:00.000Z,2022-09-07T03:03:00.000Z,2781,19988.78982,21770.55319,18644.46723,21769.25634,259528892948,416840289162,2022-09-11T23:59:59.999Z
2022-08-29T00:00:00.000Z,2022-09-04T23:59:59.999Z,2022-08-30T07:36:00.000Z,2022-08-29T00:22:00.000Z,2781,19615.15336,20542.64497,19600.78503,19986.71384,208511390279,382576542382,2022-09-04T23:59:59.999Z
2022-08-22T00:00:00.000Z,2022-08-28T23:59:59.999Z,2022-08-26T13:07:00.000Z,2022-08-28T23:59:00.000Z,2781,21531.46385,21804.90801,19616.81498,19616.81498,223346042308,375367382008,2022-08-28T23:59:59.999Z
2022-08-15T00:00:00.000Z,2022-08-21T23:59:59.999Z,2022-08-15T03:19:00.000Z,2022-08-20T21:03:00.000Z,2781,24318.31548,25135.5904,20856.73134,21534.12123,208764012537,411906673576,2022-08-21T23:59:59.999Z
2022-08-08T00:00:00.000Z,2022-08-14T23:59:59.999Z,2022-08-14T07:51:00.000Z,2022-08-10T00:50:00.000Z,2781,23179.52705,24974.91421,22771.52047,24319.33392,195343016900,465024405299,2022-08-14T23:59:59.999Z
2022-08-01T00:00:00.000Z,2022-08-07T23:59:59.999Z,2022-08-03T12:22:00.000Z,2022-08-04T20:02:00.000Z,2781,23336.71805,23578.65044,22485.70066,23175.89085,166393135564,443014963855,2022-08-07T23:59:59.999Z
2022-07-25T00:00:00.000Z,2022-07-31T23:59:59.999Z,2022-07-30T15:49:00.000Z,2022-07-26T15:56:00.000Z,2781,22607.15555,24572.57942,20776.81608,23336.8956,223759636595,445941074223,2022-07-31T23:59:59.999Z
2022-07-18T00:00:00.000Z,2022-07-24T23:59:59.999Z,2022-07-20T15:38:00.000Z,2022-07-18T00:00:00.000Z,2781,20781.9115,24196.81921,20781.9115,22609.16477,244312089708,431888879541,2022-07-24T23:59:59.999Z
2022-07-11T00:00:00.000Z,2022-07-17T23:59:59.999Z,2022-07-17T07:13:00.000Z,2022-07-13T13:34:00.000Z,2781,20856.35297,21600.64012,18999.95313,20779.34454,187297974219,396808327005,2022-07-17T23:59:59.999Z
2022-07-04T00:00:00.000Z,2022-07-10T23:59:59.999Z,2022-07-08T01:31:00.000Z,2022-07-04T03:04:00.000Z,2781,19297.31419,22314.94054,19063.0662,20860.44939,206953871022,398237577323,2022-07-10T23:59:59.999Z
